cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
148,13.056283342855972,80.21694051685982,13.0521166,80.2191162,Highway_unknown,highway,,519.82,6
149,13.05662557642283,80.21139096878105,13.0567502,80.21142,Highway_unknown,highway,,14.21,25
150,13.128546243660042,79.96725777879183,13.1295483,79.967445,Highway_unknown,highway,,113.25,6
151,13.087693252345964,80.26198890377053,13.087521666666667,80.26314,Highway_unknown,highway,,126.12,7
152,13.09175859445717,80.2655142379361,13.090333333333334,80.26560666666667,Highway_unknown,highway,,158.8,13
153,13.117692761586556,80.22007579950885,13.117516,80.2249813,Highway_unknown,highway,,531.6,17
154,13.114199389777967,80.22445358737286,13.1143999,80.2245616,Highway_unknown,highway,,25.18,24
155,13.117025527877267,80.22607551789551,13.1169497,80.2249526,Highway_unknown,highway,,121.9,8
156,13.110931028827936,80.22456992778183,13.1140339,80.2254676,Highway_unknown,highway,,358.46,11
157,13.045778196700413,80.05190317930402,13.0399167,80.0547599,Highway_unknown,highway,,721.5,5
158,13.000708824421308,80.20560009677135,13.0011332,80.2081489,Highway_unknown,highway,,280.15,15
159,12.844154983115684,79.70206670368171,12.8435826,79.7011041,Highway_unknown,highway,,122.24,16
160,12.83883207552744,79.70012052388012,12.8390836,79.7001504,Highway_unknown,highway,,28.16,15
161,13.133040450599792,80.1738800337982,13.1331066,80.17378,Highway_unknown,highway,,13.09,12
162,13.13232130222278,80.16990216056485,13.1321183,80.1698833,Highway_unknown,highway,,22.67,27
163,13.132605620179696,80.18154933261003,13.13645,80.1817512,Highway_unknown,highway,,428.03,3
165,12.942432968149612,80.18343079587781,12.9423816,80.1830366,Highway_unknown,highway,,43.1,13
166,12.9347008554259,80.18050095748859,12.9340983,80.1821849,Highway_unknown,highway,,194.41,12
167,13.211686383793689,80.27193306971643,13.211665,80.2714983,Highway_unknown,highway,,47.12,7
168,13.152738706083152,80.07011825511096,13.1522999,80.0700216,Highway_unknown,highway,,49.9,9
169,13.140237413996886,79.90699371192827,13.1402838,79.9070119,Highway_unknown,highway,,5.52,20
170,13.034275049435497,80.17423279740818,13.0398483,80.1708283,Highway_unknown,highway,,721.16,3
171,13.040387666187414,80.17123966667295,13.040236666666669,80.17135833333333,Highway_unknown,highway,,21.15,33
172,13.2984150135552,80.1553636548624,13.2988393,80.1548576,Highway_unknown,highway,,72.28,5
173,13.100757163281225,80.02656698279695,13.100913333333333,80.02358166666667,Highway_unknown,highway,,323.78,2
174,12.988319590478266,80.20482261971489,12.9946827,80.2057838,Highway_unknown,highway,,715.17,17
175,12.990536073333544,80.19929662631401,12.9904341,80.1983833,Highway_unknown,highway,,99.61,21
176,13.009943373978238,80.10627639146449,13.010945,80.1020483,Highway_unknown,highway,,471.42,7
178,13.071995247980755,80.20975421626703,13.068251666666669,80.20762833333333,Highway_unknown,highway,,475.71,22
179,13.076805471046422,80.20941307872869,13.0766999,80.2094173,Highway_unknown,highway,,11.75,17
180,13.115746306657211,80.10304313225265,13.1161499,80.1031303,Highway_unknown,highway,,45.86,25
181,13.121311083587496,80.10185632138838,13.1213333,80.1033216,Highway_unknown,highway,,158.7,6
182,13.040424002886189,80.1295161004155,13.0404329,80.1295185,Highway_unknown,highway,,1.02,38
184,13.044899207201777,80.18607067226463,13.04486,80.1860483,Highway_unknown,highway,,4.99,17
185,13.050569260788404,80.19160014004548,13.0505335,80.1920032,Highway_unknown,highway,,43.84,12
186,13.046223769168469,80.19011544112068,13.046515,80.19006333333333,Highway_unknown,highway,,32.87,14
187,13.085790754883844,80.24506265268369,13.085265,80.245455,Highway_unknown,highway,,72.27,19
188,13.082850734551196,80.238107120716,13.083541666666669,80.23931333333333,Highway_unknown,highway,,151.56,6
189,12.935999049626888,80.21027821581956,12.9376516,80.2049983,Highway_unknown,highway,,600.98,7
193,13.099257828538189,80.22810169352219,13.0999672,80.2279472,Highway_unknown,highway,,80.63,12
195,13.121924275018811,80.14787459098235,13.1218916,80.1478949,Highway_unknown,highway,,4.25,49
196,13.119603636515455,80.14970358827487,13.119576666666669,80.149855,Highway_unknown,highway,,16.67,19
197,13.121323440708457,80.15438598386483,13.1246583,80.15217,Highway_unknown,highway,,441.69,4
198,13.123648640183903,80.15215501213893,13.1244783,80.1517416,Highway_unknown,highway,,102.54,6
200,13.036429682453798,80.23679292640627,13.030673333333333,80.23066666666666,Highway_unknown,highway,,922.03,9
201,13.030645231345789,80.23677817072195,13.030318333333334,80.23073833333333,Highway_unknown,highway,,655.31,12
203,12.95799695471156,80.15816027168202,12.954881666666669,80.15734166666667,Highway_unknown,highway,,357.58,9
204,12.957370746788808,80.12888430239258,12.9581999,80.1283516,Highway_unknown,highway,,108.78,19
206,13.146357510802629,80.24706390224661,13.1482966,80.2409633,Highway_unknown,highway,,694.87,13
207,12.909896,80.1025636,12.9106649,80.1012,Highway_unknown,highway,,170.74,4
208,12.907177270012149,80.0942654125474,12.90614,80.0960433,Highway_unknown,highway,,224.58,17
209,13.006001492021758,80.2500856883091,13.006691666666669,80.24971,Highway_unknown,highway,,86.87,11
210,13.108633687458836,80.24822750254856,13.1083166,80.2480697,Highway_unknown,highway,,39.18,19
211,13.025057612289492,80.15708445228574,13.0286169,80.1515007,Highway_unknown,highway,,722.88,7
212,13.028231227070552,80.15210421028446,13.0286169,80.1515007,Highway_unknown,highway,,78.19,15
213,13.158899588171131,80.22660135385028,13.1590449,80.2262083,Highway_unknown,highway,,45.52,13
214,13.153596597575753,80.22978449754264,13.1530332,80.2278709,Highway_unknown,highway,,216.46,12
217,13.092968624709489,80.10685532577182,13.0929899,80.1084136,Highway_unknown,highway,,168.78,21
218,12.87362667248893,79.74279392715236,12.8735661,79.7428131,Highway_unknown,highway,,7.05,3
219,13.123256843935126,80.22270983401597,13.1233149,80.2228833,Highway_unknown,highway,,19.86,33
220,13.12028796704444,80.22438034895961,13.1201827,80.2243995,Highway_unknown,highway,,11.89,13
221,13.125669411384283,80.22677725393616,13.123416666666667,80.22296333333334,Highway_unknown,highway,,483.04,5
224,12.908518059690335,80.15611909933769,12.90866,80.1573216,Highway_unknown,highway,,131.28,15
225,13.059048200929183,80.24465571189295,13.0587506,80.2426338,Highway_unknown,highway,,221.5,14
226,13.103056628794665,79.90717131811975,13.0972027,79.9074554,Highway_unknown,highway,,651.65,12
227,13.105821741543432,79.90956255645426,13.1107399,79.91053,Highway_unknown,highway,,556.82,10
228,13.04698507120996,80.11104502607184,13.046733333333334,80.111845,Highway_unknown,highway,,91.07,21
229,13.045119853273802,80.11574024976173,13.0450766,80.1157516,Highway_unknown,highway,,4.96,18
230,13.04983420524152,80.11557961902015,13.05005,80.1125,Highway_unknown,highway,,334.46,7
231,13.080827199259105,80.1840489340252,13.08099,80.1840866,Highway_unknown,highway,,18.56,16
232,13.076368067805111,80.17750053523537,13.0779883,80.1776166,Highway_unknown,highway,,180.6,9
233,13.080461567904209,80.18021541100592,13.08051,80.18026166666667,Highway_unknown,highway,,7.36,21
234,13.07823261536936,80.18080516357134,13.0784183,80.1808416,Highway_unknown,highway,,21.02,32
235,13.024277532177674,80.02269493716348,13.0240566,80.0228416,Highway_unknown,highway,,29.26,4
236,13.055873518804615,80.0618257643206,13.0546583,80.061295,Highway_unknown,highway,,146.85,17
237,12.98209371846997,79.96813863583486,12.9818149,79.9682633,Highway_unknown,highway,,33.82,4
239,13.152659911100097,80.19720428881253,13.1549,80.1963806,Highway_unknown,highway,,264.57,15
240,12.811024145978376,79.70852302222097,12.8102993,79.7085809,Highway_unknown,highway,,80.84,19
241,12.978591571050234,80.18692365818005,12.9811149,80.1852783,Highway_unknown,highway,,332.43,8
242,12.975311026525825,80.1824678723414,12.975565,80.1833116,Highway_unknown,highway,,95.69,17
243,12.954573418091476,80.18693313293323,12.9546066,80.1867049,Highway_unknown,highway,,25.01,16
244,13.070942773573895,80.26269701020269,13.0736433,80.2657683,Highway_unknown,highway,,448.15,11
245,13.099619460105492,80.21577973298375,13.0998671,80.2161216,Highway_unknown,highway,,46.14,18
246,13.105587961415017,80.2137065474715,13.1016838,80.2121353,Highway_unknown,highway,,466.28,8
248,13.122872920337592,79.99480917813143,13.12491,79.99496166666667,Highway_unknown,highway,,227.11,10
249,12.964170257856106,80.24449404011052,12.9643667,80.246334,Highway_unknown,highway,,200.57,8
251,13.00998529909132,80.11834052525185,13.0103504,80.1184654,Highway_unknown,highway,,42.79,19
252,13.014415253064552,80.12255063242029,13.0113828,80.1242637,Highway_unknown,highway,,384.89,4
253,12.932703716619486,79.90932245444068,12.9337334,79.9087667,Highway_unknown,highway,,129.37,5
256,12.93607235154312,80.14617281868469,12.9410116,80.1472716,Highway_unknown,highway,,561.98,14
257,12.939593234787726,80.15116273174792,12.9402683,80.150795,Highway_unknown,highway,,84.99,22
258,13.061515857999977,80.15268484331888,13.0611157,80.1526641,Highway_unknown,highway,,44.55,17
259,13.061499503939467,80.14720240333038,13.0618834,80.1472282,Highway_unknown,highway,,42.78,15
263,13.069350014775166,80.03428563681301,13.0695216,80.0348283,Highway_unknown,highway,,61.8,5
264,13.06073356130768,80.16386249899371,13.0612063,80.1638603,Highway_unknown,highway,,52.57,27
265,13.063596214739224,80.16770147878674,13.0636,80.1677131,Highway_unknown,highway,,1.33,5
266,12.9518589256106,79.93996906942029,12.952148333333334,79.93974666666666,Highway_unknown,highway,,40.21,12
267,12.955832542763089,79.94324383753835,12.9563164,79.9429321,Highway_unknown,highway,,63.53,11
268,12.987826770160808,80.11592512527422,12.988965,80.11746,Highway_unknown,highway,,208.99,4
269,12.956730747784468,80.14253516998971,12.956235,80.1432699,Highway_unknown,highway,,96.84,19
270,12.951623036852492,80.14031278702751,12.9515716,80.14046,Highway_unknown,highway,,16.95,14
